compound,neg,neu,pos,tweet,,,,
0,0,1,0,@kstater91 Your players are coming around!,,,,
0,0,1,0,@Timcast @healthychickie UNBELIEVABLE!!!!,,,,
0,0,1,0,"@kashanacauley @TaureanDoll I'm not using the term ""alt-right.""",,,,
0,0,1,0,@kstater91 The first set of games are over.,,,,
0,0,1,0,@DeniseHunnings He just kicked another FG.,,,,
0,0,1,0,"@DeniseHunnings I also have Matt Prater, the Lions' kicker.",,,
0,0,1,0,@TaureanDoll @tcovey11 @KStater91 @AlanMarston HOLY SH@@!,,,,
0,0,1,0,@KStater91 I'm just BLOWN AWAY that Barkley has zero passing yards.,,,,
0,0,1,0,@iamteresavilleb You have a cactus shop?,,,,
0,0,1,0,@KStater91 Bortles just threw an INT.,,,,
0,0,1,0,@KStater91 Awww you're not watching the Broncos?,,,,
0,0,1,0,@KStater91 I noticed.,,,,
0,0,1,0,I need sleep,,,,
0,0,1,0,@StephNBoots it was Connor,,,,
0,0,1,0,"(go to sleep, regina) https://t.co/gbuwolRSPd",,,
0,0,1,0,currently: https://t.co/EZ1h401spZ,,,,
0,0,1,0,Feb 15 is International Angelman Day #cureangelman,,,,
0,0,1,0,How Fast Should A Web Page Load?,,,,
0,0,1,0,Funday Sunday!,,,,
0,0,1,0,@AK_DMB_fan @His_Dreamgirl @wzDMBfan @Ocalawriter Tracy!,,,,
0,0,1,0,R.I.P stephen gately,,,,
0,0,1,0,9 hour shift done 😀,,,,
0,0,1,0,do u have АSK.FM account?,,,,
0,0,1,0,Husband's Twitter bio 😂😂😂😂😂😂😂 https://t.co/mOwldvyIDC,,,,
0,0,1,0,@karaswisher and so are rest of the world: constantly pointing his skin-thinness.,,,,
0,0,1,0,@SooleyBong ALL OF THE KITTIES!!,,,,
0,0,1,0,@Yourallypally Some pictures that @frak took on Friday night 😀🎆😀 https://t.co/jkr9Eclxzb,,,,
0,0,1,0,@SooleyBong Saw this on fb yesterday!,,,,
0,0,1,0,@Claire2909 @bubsycm @GillsF @Busted @JamesBourne @mattjwillis ahh that's my bday!,,,,
0,0,1,0,@sokatie can't wait!,,,,
0,0,1,0,Dying https://t.co/7MQdLCAsMj,,,,
0,0,1,0,sign this bday card for Jordin!,,,,
0,0,1,0,Travel travel travel.,,,,
0,0,1,0,Exploring the back alleys of Flagstaff.,,,,
0,0,1,0,"The one and only, Willie Nelson!",,,
0,0,1,0,"Every time I see an old tobacco Indian, I think of the Hank Williams song, Kaw-Liga.",,
0,0,1,0,"I need some ""Blue Water-White Sail"" therapy.",,,,
0,0,1,0,@Theresacaputo  has me BAWLING as always!,,,,
0,0,1,0,I checked in to the @McDonalds McCafé Blueberry Pomegranate Smoothie Commercial on #ViggleTV for points!,,,,
0,0,1,0,Make it TWO Manu!,,,,
0,0,1,0,Pop got ejected!,,,,
0,0,1,0,Let's see some D-fence!#GoSpursGo,,,,
0,0,1,0,A Cav is down!,,,,
0,0,1,0,First Spurs game EVER!,,,,
0,0,1,0,@DJSUSSONE classic,,,,
0,0,1,0,“@Bbillions: Baby arch ya backkkkkkk n point ya toesssss” I hear you!,,,,
0,0,1,0,“@arielcherie: @NikFreeman is a lurker.”lol this is correct,,,,
0,0,1,0,Soooooo boring....,,,,
-0.1779,0.175,0.825,0,Many people are saying he is obsessed with media.,,,,
-0.206,0.197,0.654,0.149,RT @Brook_star: Days like yesterday are SO necessary...'twas such a low key turn up!,,,,
-0.296,0.423,0.577,0,@CNN @QuirkyGardener No way.,,,,
-0.4019,0.172,0.828,0,Some pages on your site are probably redundant and hurting your rankings: https://t.co/RqyjNLL2vg #hoboseo,,,,
-0.4071,0.132,0.868,0,"@DeniseHunnings I don't mean to be annoying or to rub it in, but Matt Prater just kicked a 50+ yard FG!!!",,,
-0.5267,0.405,0.595,0,Trapped between my beliefs and principles .,,,,
-0.5423,0.467,0.533,0,Horrid urururur if did not,,,,
-0.5423,0.429,0.571,0,@wzDMBfan I'm worried about our lack of tickets.,,,,
-0.6124,0.556,0.444,0,"Parenting 101: ignore tantrums, not highlight/reward.",,,
-0.6249,0.421,0.579,0,oh no I am 5'1 and three quarters :( https://t.co/UpsxReITkU,,,,
-0.6486,0.518,0.482,0,@CharrMxx @NicoleSmithsonx @ScottGShore @leicspolice dead,,,,
