compound,neg,neu,pos,tweet
0.8943,0.0,0.505,0.495,"Check out this charity on Chase Community Giving, and vote to help it share in $5MM in grants!"
0.0,0.0,1.0,0.0,"Google - ""301 redirecting to a category, for example, is something we would probably pick up as a soft 404"" https://t.co/u1euQuCu2p #hobos…"
0.0,0.0,1.0,0.0,What is a high quality website to Google?
0.5719,0.0,0.575,0.425,What is The Perfect Keyword Density?
0.0,0.0,1.0,0.0,How to do keyword research fast https://t.co/OSzkOT9nu6 #hoboseo and @semrush
-0.5766,0.789,0.211,0.0,@JessUmble RUDE
0.3724,0.0,0.896,0.104,So my baby will officially only not cry in the car if listening to: 'therapy' by @brookefraser or 'there for you' by @LEVVMUSIC .
0.0,0.0,1.0,0.0,Daddy-baby time!
0.3182,0.0,0.723,0.277,This is the calm before the storm.
0.0,0.0,1.0,0.0,@_FeliciaJ @His_Dreamgirl @gemstwin @melissaluvsDMB @fkalinrose Hi!
0.0,0.0,1.0,0.0,Look at my birthday boy!
0.0,0.0,1.0,0.0,"This year all of my videos on social media are going to be 1080p, Full HD."
0.0,0.0,1.0,0.0,Midnight bagpiper to bring in the new year @ Mingara Recreation Club https://t.co/30k3vFxkRz
0.802,0.0,0.556,0.444,"2015 has been a great year filled with family, friends and music."
0.0,0.0,1.0,0.0,Beyond The Wheel.
0.7269,0.0,0.621,0.379,You could say we had pretty good seats for @soundgarden show tonight.
0.0,0.0,1.0,0.0,westlife 2days to go
0.0,0.0,1.0,0.0,just watched gerry ryans funeral... r.i.p
0.5719,0.0,0.448,0.552,happy new year all
0.0,0.0,1.0,0.0,@nickybyrneoffic  it has to be shadows nicky.
0.0,0.0,1.0,0.0,I've just enabled Twitter on my MUZU TV account.
0.0,0.0,1.0,0.0,12 minute sun bed 🌞🌞 #heaven
0.296,0.0,0.885,0.115,"TGI Friday's - As a current server at TGI Friday’s in Thousand Oaks, CA…I have been helping design flyers... http://tumblr.com/xda1xtiijt"
-0.7184,0.353,0.515,0.132,"""A Divine Image"" William Blake - Cruelty has a human heart And jealousy a human face, Terror the human form... http://tumblr.com/xda1nql8ye"
0.4404,0.0,0.508,0.492,innovative bag design http://tumblr.com/xda1lgr0kh
0.4404,0.0,0.508,0.492,innovative bag design http://tumblr.com/xda1lgqj3t
0.3182,0.0,0.827,0.173,"VRmagic Simulators - now for eyes and ears :-)
#VRmSim #earsi #vrmagic  https://t.co/pxLNBgBaNZ"
0.5719,0.0,0.684,0.316,@Denkar1891 Hey Dennis 😊 just wanted to say happy thanksgiving.
0.4927,0.0,0.484,0.516,@joshua_fox so funny 😂❤️
-0.1779,0.221,0.779,0.0,@cassiduncan all your tweets are just weird
-0.3052,0.31,0.69,0.0,@cassiduncan why are you so weird
0.2244,0.166,0.602,0.233,@joshua_fox remember when you was on snog marry avoid lol!
0.0,0.0,1.0,0.0,@kyliegyur Momentary lapse in judgement 😔
0.0,0.0,1.0,0.0,Self restraint of the day: I didn't buy extra cupcakes to have a bigger box so I could get a reindeer bag.
0.5106,0.0,0.809,0.191,This is me leaving work early to get @GTownCupcake because my entire afternoon is free.
0.3818,0.076,0.707,0.217,@GTownCupcake @ALLevison want to come help me bake this weekend and I'll pay you in cupcakes....?
0.0,0.0,1.0,0.0,"""I'll circle back with them and follow up with you so we can sync up by end of day."""
0.658,0.0,0.672,0.328,Having an amazing time at Saffron Tapas restaurant and Bar!!
0.0,0.0,1.0,0.0,theee place to be !!!
0.0,0.0,1.0,0.0,I couldnt wait to get to the gym http://t.co/aziZDdnf
0.481,0.0,0.719,0.281,Still looking for recipes for your drinks this holiday?
0.0,0.0,1.0,0.0,Hmm mmm it's Afrita-day!
0.3182,0.0,0.723,0.277,Curious on how to do Yema cake?
-0.3612,0.217,0.783,0.0,Isn't it common curtesy to pull over for funeral processions?
0.6369,0.0,0.543,0.457,@Shelbyy010 it's one of the best.
0.0,0.0,1.0,0.0,@Shelbyy010 Step Brothers quote Fest!
0.0,0.0,1.0,0.0,Find the Rules for the Carnaval Sweepstakes here!
0.0,0.0,1.0,0.0,Next?
-0.5859,0.545,0.455,0.0,"Lost, lonely and loopy yet again"
0.0,0.0,1.0,0.0,"The older I get, the more I relate to the songs of my youth."
0.5106,0.0,0.377,0.623,Heroes among us.
0.4215,0.062,0.781,0.156,The sweet irony of putting a flowery “LOVE” stamp on a 3rd Quarter estimated tax payment to the IRS.
0.0,0.0,1.0,0.0,Dinner at Cracker Barrel tonight.
0.0,0.0,1.0,0.0,"""SAILS ON THE HORIZON!"""
0.8188,0.0,0.54,0.46,"hoping, WISHING and hoping, that I can make it to @austinbeerweek events this weekend!"
-0.4404,0.592,0.408,0.0,I have a dirty mind
